date,pollution,dew,temp,press,wnd_dir,wnd_spd,snow,rain,hour,weekday,is_weekend,pollution_lag1,pollution_lag3,pollution_lag6,pollution_lag24,pollution_level
2010-01-03 00:00:00,90.0,-7,-6.0,1027.0,2,58.56,4,0,0,6,1,126.0,164.0,170.0,129.0,1
2010-01-03 01:00:00,63.0,-8,-6.0,1026.0,2,61.69,5,0,1,6,1,90.0,156.0,149.0,148.0,1
2010-01-03 02:00:00,65.0,-8,-7.0,1026.0,2,65.71,6,0,2,6,1,63.0,126.0,154.0,159.0,1
2010-01-03 03:00:00,55.0,-8,-7.0,1025.0,2,68.84,7,0,3,6,1,65.0,90.0,164.0,181.0,1
2010-01-03 04:00:00,65.0,-8,-7.0,1024.0,2,72.86,8,0,4,6,1,55.0,63.0,156.0,138.0,1
2010-01-03 05:00:00,83.0,-9,-8.0,1024.0,2,76.88,9,0,5,6,1,65.0,65.0,126.0,109.0,1
2010-01-03 06:00:00,91.0,-10,-8.0,1024.0,2,80.9,10,0,6,6,1,83.0,55.0,90.0,105.0,1
2010-01-03 07:00:00,86.0,-10,-9.0,1024.0,2,84.92,11,0,7,6,1,91.0,65.0,63.0,124.0,1
2010-01-03 08:00:00,82.0,-10,-9.0,1024.0,2,89.84,12,0,8,6,1,86.0,83.0,65.0,120.0,1
2010-01-03 09:00:00,86.0,-11,-9.0,1023.0,2,93.86,13,0,9,6,1,82.0,91.0,55.0,132.0,1
2010-01-03 10:00:00,78.0,-11,-9.0,1023.0,2,97.88,15,0,10,6,1,86.0,86.0,65.0,140.0,1
2010-01-03 11:00:00,98.0,-11,-9.0,1022.0,2,102.8,16,0,11,6,1,78.0,82.0,83.0,152.0,1
2010-01-03 12:00:00,107.0,-11,-9.0,1021.0,2,105.93,17,0,12,6,1,98.0,86.0,91.0,148.0,2
2010-01-03 13:00:00,90.0,-11,-9.0,1020.0,2,111.74,19,0,13,6,1,107.0,78.0,86.0,164.0,1
2010-01-03 14:00:00,96.0,-11,-9.0,1020.0,2,116.66,20,0,14,6,1,90.0,98.0,82.0,158.0,1
2010-01-03 15:00:00,95.0,-11,-9.0,1020.0,2,121.58,21,0,15,6,1,96.0,107.0,86.0,154.0,1
2010-01-03 16:00:00,86.0,-11,-9.0,1020.0,2,124.71,22,0,16,6,1,95.0,90.0,78.0,159.0,1
2010-01-03 17:00:00,70.0,-11,-9.0,1020.0,2,127.84,23,0,17,6,1,86.0,96.0,98.0,164.0,1
2010-01-03 18:00:00,61.0,-11,-9.0,1021.0,3,0.89,24,0,18,6,1,70.0,95.0,107.0,170.0,1
2010-01-03 19:00:00,53.0,-11,-9.0,1022.0,3,1.78,25,0,19,6,1,61.0,86.0,90.0,149.0,1
2010-01-03 20:00:00,71.0,-10,-9.0,1022.0,1,4.02,26,0,20,6,1,53.0,70.0,96.0,154.0,1
2010-01-03 21:00:00,72.0,-11,-10.0,1023.0,1,7.15,27,0,21,6,1,71.0,61.0,95.0,164.0,1
2010-01-03 22:00:00,76.0,-11,-9.0,1023.0,1,11.17,0,0,22,6,1,72.0,53.0,86.0,156.0,1
2010-01-03 23:00:00,73.0,-12,-11.0,1023.0,1,14.3,0,0,23,6,1,76.0,71.0,70.0,126.0,1
2010-01-04 00:00:00,79.0,-14,-12.0,1023.0,1,16.09,0,0,0,0,0,73.0,72.0,61.0,90.0,1
2010-01-04 01:00:00,58.0,-16,-9.0,1023.0,1,21.9,0,0,1,0,0,79.0,76.0,53.0,63.0,1
2010-01-04 02:00:00,25.0,-17,-10.0,1024.0,1,29.95,0,0,2,0,0,58.0,73.0,71.0,65.0,0
2010-01-04 03:00:00,26.0,-18,-11.0,1024.0,1,39.78,0,0,3,0,0,25.0,79.0,72.0,55.0,0
2010-01-04 04:00:00,28.0,-19,-11.0,1025.0,1,48.72,0,0,4,0,0,26.0,58.0,76.0,65.0,0
2010-01-04 05:00:00,26.0,-20,-12.0,1026.0,1,55.87,0,0,5,0,0,28.0,25.0,73.0,83.0,0
2010-01-04 06:00:00,20.0,-21,-12.0,1027.0,1,64.81,0,0,6,0,0,26.0,26.0,79.0,91.0,0
2010-01-04 07:00:00,29.0,-21,-13.0,1027.0,1,73.75,0,0,7,0,0,20.0,28.0,58.0,86.0,0
2010-01-04 08:00:00,26.0,-22,-13.0,1028.0,1,80.9,0,0,8,0,0,29.0,26.0,25.0,82.0,0
2010-01-04 09:00:00,27.0,-22,-13.0,1029.0,1,90.73,0,0,9,0,0,26.0,20.0,26.0,86.0,0
2010-01-04 10:00:00,27.0,-22,-12.0,1030.0,1,100.56,0,0,10,0,0,27.0,29.0,28.0,78.0,0
2010-01-04 11:00:00,25.0,-23,-12.0,1031.0,1,108.61,0,0,11,0,0,27.0,26.0,26.0,98.0,0
2010-01-04 12:00:00,29.0,-21,-11.0,1030.0,1,117.55,0,0,12,0,0,25.0,27.0,20.0,107.0,0
2010-01-04 13:00:00,32.0,-20,-10.0,1030.0,1,127.38,0,0,13,0,0,29.0,27.0,29.0,90.0,0
2010-01-04 14:00:00,28.0,-21,-10.0,1030.0,1,136.32,0,0,14,0,0,32.0,25.0,26.0,96.0,0
2010-01-04 15:00:00,29.0,-21,-9.0,1030.0,1,145.26,0,0,15,0,0,28.0,29.0,27.0,95.0,0
2010-01-04 16:00:00,30.0,-21,-9.0,1031.0,1,152.41,0,0,16,0,0,29.0,32.0,27.0,86.0,0
2010-01-04 17:00:00,30.0,-20,-11.0,1032.0,1,159.56,0,0,17,0,0,30.0,28.0,25.0,70.0,0
2010-01-04 18:00:00,28.0,-23,-11.0,1032.0,1,165.37,0,0,18,0,0,30.0,29.0,29.0,61.0,0
2010-01-04 19:00:00,26.0,-21,-12.0,1033.0,1,171.18,0,0,19,0,0,28.0,30.0,32.0,53.0,0
2010-01-04 20:00:00,31.0,-24,-12.0,1034.0,1,180.12,0,0,20,0,0,26.0,30.0,28.0,71.0,0
2010-01-04 21:00:00,33.0,-24,-13.0,1034.0,1,187.27,0,0,21,0,0,31.0,28.0,29.0,72.0,0
2010-01-04 22:00:00,29.0,-24,-13.0,1035.0,1,195.32,0,0,22,0,0,33.0,26.0,30.0,76.0,0
2010-01-04 23:00:00,31.0,-26,-15.0,1035.0,1,198.45,0,0,23,0,0,29.0,31.0,30.0,73.0,0
2010-01-05 00:00:00,30.0,-26,-17.0,1035.0,1,201.58,0,0,0,1,0,31.0,33.0,28.0,79.0,0
2010-01-05 01:00:00,34.0,-26,-18.0,1035.0,1,205.6,0,0,1,1,0,30.0,29.0,26.0,58.0,0
2010-01-05 02:00:00,27.0,-26,-19.0,1035.0,1,208.73,0,0,2,1,0,34.0,31.0,31.0,25.0,0
2010-01-05 03:00:00,25.0,-27,-18.0,1035.0,1,213.65,0,0,3,1,0,27.0,30.0,33.0,26.0,0
2010-01-05 04:00:00,28.0,-27,-19.0,1035.0,1,218.57,0,0,4,1,0,25.0,34.0,29.0,28.0,0
2010-01-05 05:00:00,28.0,-27,-16.0,1034.0,0,4.92,0,0,5,1,0,28.0,27.0,31.0,26.0,0
2010-01-05 06:00:00,27.0,-26,-16.0,1035.0,0,8.05,0,0,6,1,0,28.0,25.0,30.0,20.0,0
2010-01-05 07:00:00,27.0,-27,-16.0,1034.0,0,13.86,0,0,7,1,0,27.0,28.0,34.0,29.0,0
2010-01-05 08:00:00,27.0,-26,-16.0,1035.0,0,18.78,0,0,8,1,0,27.0,28.0,27.0,26.0,0
2010-01-05 09:00:00,29.0,-26,-15.0,1035.0,0,24.59,0,0,9,1,0,27.0,27.0,25.0,27.0,0
2010-01-05 10:00:00,36.0,-25,-14.0,1035.0,0,29.51,0,0,10,1,0,29.0,27.0,28.0,27.0,0
2010-01-05 11:00:00,30.0,-25,-13.0,1035.0,0,34.43,0,0,11,1,0,36.0,27.0,28.0,25.0,0
2010-01-05 12:00:00,27.0,-25,-12.0,1034.0,0,39.35,0,0,12,1,0,30.0,29.0,27.0,29.0,0
2010-01-05 13:00:00,39.0,-24,-11.0,1032.0,0,41.14,0,0,13,1,0,27.0,36.0,27.0,32.0,0
2010-01-05 14:00:00,41.0,-22,-11.0,1032.0,3,0.89,0,0,14,1,0,39.0,30.0,27.0,28.0,0
2010-01-05 15:00:00,33.0,-23,-11.0,1031.0,1,1.79,0,0,15,1,0,41.0,27.0,29.0,29.0,0
2010-01-05 16:00:00,50.0,-24,-11.0,1031.0,1,3.58,0,0,16,1,0,33.0,39.0,36.0,30.0,0
2010-01-05 17:00:00,56.0,-23,-11.0,1031.0,1,5.37,0,0,17,1,0,50.0,41.0,30.0,30.0,1
2010-01-05 18:00:00,59.0,-23,-11.0,1032.0,1,7.16,0,0,18,1,0,56.0,33.0,27.0,28.0,1
2010-01-05 19:00:00,60.0,-22,-13.0,1033.0,1,10.29,0,0,19,1,0,59.0,50.0,39.0,26.0,1
2010-01-05 20:00:00,84.0,-22,-12.0,1033.0,1,13.42,0,0,20,1,0,60.0,56.0,41.0,31.0,1
2010-01-05 21:00:00,106.0,-24,-18.0,1033.0,1,16.55,0,0,21,1,0,84.0,59.0,33.0,33.0,2
2010-01-05 22:00:00,66.0,-22,-13.0,1034.0,1,20.57,0,0,22,1,0,106.0,60.0,50.0,29.0,1
2010-01-05 23:00:00,50.0,-22,-16.0,1033.0,1,23.7,0,0,23,1,0,66.0,84.0,56.0,31.0,0
2010-01-06 00:00:00,56.0,-25,-17.0,1033.0,1,26.83,0,0,0,2,0,50.0,106.0,59.0,30.0,1
2010-01-06 01:00:00,77.0,-25,-14.0,1033.0,0,4.02,0,0,1,2,0,56.0,66.0,60.0,34.0,1
2010-01-06 02:00:00,50.0,-26,-14.0,1034.0,0,8.04,0,0,2,2,0,77.0,50.0,84.0,27.0,0
2010-01-06 03:00:00,44.0,-26,-14.0,1033.0,0,13.85,0,0,3,2,0,50.0,56.0,106.0,25.0,0
2010-01-06 04:00:00,27.0,-26,-14.0,1033.0,0,17.87,0,0,4,2,0,44.0,77.0,66.0,28.0,0
2010-01-06 05:00:00,28.0,-26,-14.0,1033.0,0,23.68,0,0,5,2,0,27.0,50.0,50.0,28.0,0
2010-01-06 06:00:00,21.0,-26,-14.0,1033.0,0,28.6,0,0,6,2,0,28.0,44.0,56.0,27.0,0
2010-01-06 07:00:00,25.0,-26,-15.0,1034.0,0,33.52,0,0,7,2,0,21.0,27.0,77.0,27.0,0
2010-01-06 08:00:00,20.0,-26,-14.0,1034.0,0,39.33,0,0,8,2,0,25.0,28.0,50.0,27.0,0
2010-01-06 09:00:00,29.0,-25,-13.0,1035.0,0,44.25,0,0,9,2,0,20.0,21.0,44.0,29.0,0
2010-01-06 10:00:00,34.0,-25,-12.0,1035.0,0,50.06,0,0,10,2,0,29.0,25.0,27.0,36.0,0
2010-01-06 11:00:00,42.0,-24,-11.0,1035.0,0,54.98,0,0,11,2,0,34.0,20.0,28.0,30.0,0
